;Allgt_avg;Cont_100_avg;Cont_rupt_avg;Durete;;Distinct MES tags (16)
1;Rotocure_RotoCylinderTemp_mean;Extrud_MixtureTemperature_max;Caland_OpeningLevelRight_mean;Rotocure_RotoCylinderTemp_mean;;Rotocure_RotoCylinderTemp
2;Rotocure_CylinderTempUpper_min;Extrud_ScrewSpeed_mean;CylinderSpeedUpper_max;Rotocure_CylinderTempUpper_min;;Extrud_MixtureTemperature
3;Extrud_ScrewSpeed_mean;Rotocure_RotoCylinderTemp_mean;CylinderSpeedUpper_min;Extrud_ScrewSpeed_mean;;Caland_OpeningLevelRight
4;TS2_std;Extrud_PressureAfterFilter_max;Caland_OpeningLevelLeft_max;Extrud_MixtureTemperature_max;;Rotocure_CylinderTempUpper
5;Extrud_ScrewSpeed_min;Extrud_ScrewSpeed_min;T90_min;Extrud_ScrewSpeed_min;;Extrud_ScrewSpeed
6;MH_max;MH_max;CylinderSpeedLower_stdev;Extrud_ScewSpeed_stdev;;CylinderSpeedUpper
7;Extrud_MixtureTemperature_max;Extrud_PressureBeforeFilter_mean;maturation_time;Caland_OpeningLevelRight_mean;;Extrud_PressureAfterFilter
8;Extrud_PressureAfterFilter_max;Rotocure_CylinderTempUpper_min;Caland_OpeningLevelLeft_stdev;Extrud_PressureBeforeFilter_mean;;Caland_OpeningLevelLeft
9;Caland_OpeningLevelRight_mean;TS2_stdev;Extrud_HeadTemperature_mean;Rotocure_CylPressureLeft1_mean;;CylinderSpeedLower
10;MH_stdev;ML_stdev;Rotocure_VulcPressure_stdev;CylinderSpeedUpper_stdev;;Extrud_PressureBeforeFilter
11;CylinderSpeedUpper_stdev;MH_min;Extrud_ScrewSpeed_mean;Caland_OpeningLevelLeft1_stdev;;maturation_time
12;Extrud_ScrewSpeed_stdev;MH_stdev;MH_min;TS2_stdev;;Caland_OpeningLevelRight
13;maturation_time;ML_min;MH_stdev;Rotocure_LineSpeed_stdev;;Extrud_HeadTemperature
14;T90_min;TS2_mean;Rotocure_CylPressureRight1_stdev;Rotocure_CylPressureRight1_stdev;;Rotocure_CylPressureLeft1
15;CylinderSpeedUpper_max;T90_min;Extrud_HeadTemperature_min;CylinderSpeedUpper_max;;Rotocure_VulcPressure
16;Extrud_PressureBeforeFilter_mean;;Extrud_ScrewSpeed_stdev;ML_min;;Rotocure_LineSpeed
17;TS2_mean;;Rotocure_CylPressureLeft1_mean;ML_stdev;;
18;ML_min;;Rotocure_LineSpeed_stdev;MH_stdev;;
19;ML_stdev;;Rotocure_CylPressureLeft1_max;Extrud_PressureAfterFilter_stdev;;
20;CylinderSpeedLower_stdev;;Rotocure_RotoCylinderTemp_mean;Rotocure_LineSpeed_mean;;(+) 4 mesures rhéo
;;;;;;
;;;;;;
;;;;;;Tot : 20 
